com,ger,ita,lad,etr
Roncegno Terme, 0.006003752, 0.993996248, 0
Ronchi Valsugana, 0, 1, 0
Roncone, 0, 1, 0
Ronzo-Chienis, 0, 1, 0
Ronzone, 0, 0.726744186, 0.273255814
Rovereto, 0.001494404, 0.996218244, 0.002287352
Roverè della Luna, 0, 0.996363636, 0.003636364
Ruffrè-Mendola, 0, 0.71182266, 0.28817734
Rumo, 0, 0.875843455, 0.124156545
Sagron Mis, 0, 1, 0
Salorno, 0.37775446, 0.618398041, 0.003847499
Samone, 0, 1, 0
San Candido, 0.850653595, 0.146405229, 0.002941176
San Genesio Atesino, 0.967908903, 0.030710835, 0.001380262
San Leonardo in Passiria, 0.988462648, 0.010383617, 0.001153735
San Lorenzo di Sebato, 0.953133666, 0.026344981, 0.020521353
San Lorenzo in Banale, 0, 1, 0
San Martino in Badia, 0.018310691, 0.014766686, 0.966922623
San Martino in Passiria, 0.991150442, 0.008521796, 0.000327761
San Michele all'Adige, 0, 0.990295188, 0.009704812
San Pancrazio, 0.988431877, 0.009640103, 0.001928021
Sant'Orsola Terme, 0.253, 0.747, 0
Santa Cristina Valgardena, 0.042063937, 0.044307347, 0.913628716
Sanzeno, 0, 0.732638889, 0.267361111
Sarentino, 0.980752147, 0.01821143, 0.001036423
Sarnonico, 0, 0.821646341, 0.178353659
Scena, 0.981965403, 0.016562385, 0.001472212
Scurelle, 0, 1, 0
Segonzano, 0.004460967, 0.995539033, 0
Selva dei Molini, 0.988965517, 0.008965517, 0.002068966
Selva di Val Gardena, 0.051530415, 0.051142968, 0.897326618
Senale-San Felice, 0.989690722, 0.010309278, 0
Senales, 0.982622433, 0.017377567, 0
Sesto, 0.953463203, 0.043831169, 0.002705628
Sfruz, 0, 0.743421053, 0.256578947
Silandro, 0.946635731, 0.051936463, 0.001427807
Siror, 0, 1, 0
Sluderno, 0.988013699, 0.011986301, 0
Smarano, 0, 0.64137931, 0.35862069
Soraga, 0, 0.076358297, 0.923641703
Sover, 0, 1, 0
Spera, 0, 1, 0
Spiazzo, 0, 1, 0
Spormaggiore, 0, 0.794570136, 0.205429864
Sporminore, 0, 0.816666667, 0.183333333
Stelvio, 0.984739677, 0.015260323, 0
Stenico, 0, 0.986602871, 0.013397129
Storo, 0, 1, 0
Strembo, 0, 1, 0
Strigno, 0, 0.994025392, 0.005974608
Taio, 0, 0.770034843, 0.229965157
Tassullo, 0, 0.770193402, 0.229806598
Telve, 0, 1, 0
Telve di Sopra, 0, 1, 0
Tenna, 0, 1, 0
Tenno, 0, 0.997229917, 0.002770083
Terento, 0.994079337, 0.005328597, 0.000592066
Terlago, 0.002751789, 0.997248211, 0
Terlano, 0.836184552, 0.160705029, 0.00311042
Termeno sulla strada del vino, 0.963812601, 0.034248788, 0.001938611
Terragnolo, 0.008152174, 0.991847826, 0
Terres, 0, 0.761565836, 0.238434164
Terzolas, 0, 0.961335677, 0.038664323
Tesero, 0, 0.993350573, 0.006649427
Tesimo, 0.976833977, 0.019856591, 0.003309432
Tione di Trento, 0, 0.994225217, 0.005774783
Tires, 0.981501632, 0.011969532, 0.006528836
Tirolo, 0.96893617, 0.02893617, 0.00212766
Ton, 0, 0.695261438, 0.304738562
Tonadico, 0, 0.990559187, 0.009440813
Torcegno, 0, 1, 0
Trambileno, 0, 1, 0
Transacqua, 0, 0.992625369, 0.007374631
Trento, 0.002850871, 0.993493658, 0.003655472
Tres, 0, 0.746626687, 0.253373313
Trodena nel parco naturale, 0.739270386, 0.254291845, 0.006437768
Tubre, 0.978655283, 0.021344717, 0
Tuenno, 0, 0.780453914, 0.219546086
Ultimo, 0.994101319, 0.005204719, 0.000693963
Vadena, 0.380434783, 0.615217391, 0.004347826
Val di Vizze, 0.909858074, 0.08937476, 0.000767165
Valda, 0, 1, 0
Valdaora, 0.964637878, 0.031961918, 0.003400204
Valfloriana, 0, 1, 0
Vallarsa, 0, 1, 0
Valle Aurina, 0.987562619, 0.009328036, 0.003109345
Valle di Casies, 0.98280543, 0.016289593, 0.000904977
Vandoies, 0.982439336, 0.012452107, 0.005108557
Varena, 0, 0.987515605, 0.012484395
Varna, 0.877974684, 0.111898734, 0.010126582
Vattaro, 0.007162041, 0.992837959, 0
Velturno, 0.983495874, 0.009002251, 0.007501875
Verano, 0.979212254, 0.020787746, 0
Vermiglio, 0, 0.984797297, 0.015202703
Vervò, 0, 0.657407407, 0.342592593
Vezzano, 0, 1, 0
Vignola-Falesina, 0, 1, 0
Vigo Rendena, 0, 1, 0
Vigo di Fassa, 0, 0.031992687, 0.968007313
Vigolo Vattaro, 0.002396932, 0.997603068, 0
Villa Agnedo, 0, 1, 0
Villa Lagarina, 0, 1, 0
Villa Rendena, 0, 1, 0
Villabassa, 0.920821114, 0.07771261, 0.001466276
Villandro, 0.984716157, 0.011462882, 0.003820961
Vipiteno, 0.736418511, 0.259557344, 0.004024145
Volano, 0.003958258, 0.996041742, 0
Zambana, 0, 1, 0
Ziano di Fiemme, 0, 0.986343886, 0.013656114
Zuclo, 0, 1, 0
